age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
58,11,1,3,0,1,0,1,9,3,154,1,999,1,1,-3.0,92.713,-33.0,0.72,5023.5,1
33,9,0,3,2,0,0,0,2,3,1867,6,999,0,0,1.1,93.994,-36.4,4.86,5191.0,1
40,5,1,6,0,1,0,1,4,1,243,1,999,0,0,-2.9,92.469,-33.6,1.044,5076.2,1
25,2,2,4,0,0,0,1,3,0,485,2,999,0,0,-1.7,94.055,-39.8,0.72,4991.6,1
57,10,1,6,0,1,1,1,8,4,536,1,999,0,0,-0.1,93.2,-42.0,4.021,5195.8,1
30,6,1,6,0,1,0,1,3,0,661,1,999,0,0,-1.7,94.055,-39.8,0.72,4991.6,1
35,9,0,3,0,0,0,1,2,4,409,1,999,1,1,-1.8,92.893,-46.2,1.25,5099.1,1
75,1,1,6,0,1,0,1,4,3,229,1,999,2,1,-1.7,94.215,-40.3,0.81,4991.6,1
53,5,1,6,0,1,0,1,1,1,158,2,6,1,2,-1.8,93.075,-47.1,1.405,5099.1,1
50,3,2,7,0,0,0,0,3,0,741,4,999,0,0,1.4,94.465,-41.8,4.96,5228.1,1
38,5,0,6,0,1,0,1,8,3,1532,3,999,0,0,-0.1,93.2,-42.0,4.076,5195.8,1
32,9,1,3,0,1,1,1,1,4,482,2,999,0,0,-1.8,93.075,-47.1,1.479,5099.1,1
38,0,1,1,2,0,0,1,4,1,1058,1,999,0,0,1.4,93.918,-42.7,4.961,5228.1,1
41,9,2,3,0,0,1,1,2,2,540,1,999,0,0,-1.8,92.893,-46.2,1.334,5099.1,1
23,2,2,2,0,0,0,1,3,4,276,1,14,1,2,-1.7,94.055,-39.8,0.748,4991.6,1
50,10,0,6,2,0,0,0,1,0,475,6,999,1,1,-1.8,93.075,-47.1,1.466,5099.1,1
30,5,2,6,0,0,0,1,6,0,199,6,999,0,0,-3.4,92.379,-29.8,0.797,5017.5,1
53,10,1,6,0,1,0,0,5,1,97,1,999,0,0,-1.7,94.027,-38.3,0.904,4991.6,1
43,5,2,6,0,0,1,1,5,2,1471,7,999,0,0,1.4,93.444,-36.1,4.967,5228.1,1
39,10,0,6,0,0,0,1,5,2,649,1,999,0,0,1.4,93.444,-36.1,4.964,5228.1,1
70,5,1,1,0,1,1,1,6,1,91,1,3,1,2,-3.4,92.379,-29.8,0.77,5017.5,1
28,7,1,3,0,1,0,1,4,0,1080,4,999,0,0,1.4,93.918,-42.7,4.96,5228.1,1
44,5,1,6,0,1,0,1,7,2,192,3,6,1,2,-3.4,92.431,-26.9,0.735,5017.5,1
46,5,1,3,2,1,0,0,3,4,856,3,999,0,0,1.4,94.465,-41.8,4.959,5228.1,1
26,5,2,6,0,0,0,0,5,0,1087,1,3,1,2,-1.7,94.027,-38.3,0.904,4991.6,1
29,5,2,4,0,0,1,1,1,2,319,1,6,1,2,-1.8,93.075,-47.1,1.405,5099.1,1
36,8,1,6,0,0,0,0,2,0,410,4,999,0,0,-1.8,92.893,-46.2,1.354,5099.1,1
48,10,1,6,0,1,0,1,7,2,294,1,999,1,1,-3.4,92.431,-26.9,0.74,5017.5,1
40,7,2,6,0,0,0,1,8,0,105,2,3,1,2,-3.4,92.649,-30.1,0.714,5017.5,1
28,6,2,6,0,0,0,1,0,4,296,2,999,0,0,-1.8,92.843,-50.0,1.64,5099.1,1
41,6,1,3,0,1,0,1,2,3,1135,3,999,1,1,-1.8,92.893,-46.2,1.327,5099.1,1
25,5,2,6,0,1,0,1,5,0,163,1,6,1,2,-2.9,92.201,-31.4,0.861,5076.2,1
40,7,1,3,2,1,0,0,2,3,539,1,999,0,0,1.1,93.994,-36.4,4.86,5191.0,1
36,10,0,6,0,1,0,1,3,0,422,1,3,4,2,-1.7,94.055,-39.8,0.72,4991.6,1
40,5,2,4,0,1,0,0,2,3,1047,2,999,0,0,1.1,93.994,-36.4,4.86,5191.0,1
54,5,1,6,0,0,0,0,2,3,513,1,999,0,0,1.1,93.994,-36.4,4.855,5191.0,1
23,10,2,6,0,1,0,1,1,0,122,1,999,0,0,-1.8,93.075,-47.1,1.392,5099.1,1
27,7,2,3,0,1,0,0,1,2,523,2,999,0,0,-1.8,93.075,-47.1,1.445,5099.1,1
38,9,0,7,0,0,0,1,8,1,596,1,999,0,0,-0.1,93.2,-42.0,4.153,5195.8,1
68,1,1,1,0,1,1,1,2,4,220,1,6,1,2,-1.8,93.876,-40.0,0.684,5008.7,1
35,5,2,6,0,0,0,1,4,4,536,1,999,0,0,1.4,93.918,-42.7,4.957,5228.1,1
41,5,0,6,0,0,0,1,4,0,128,2,999,0,0,-1.7,94.215,-40.3,0.793,4991.6,1
37,5,2,4,0,1,0,0,2,4,912,1,999,0,0,1.1,93.994,-36.4,4.859,5191.0,1
28,9,0,4,0,0,0,1,2,3,307,1,999,2,1,-1.8,92.893,-46.2,1.266,5099.1,1
31,10,1,6,0,1,0,1,3,1,305,1,999,0,0,-2.9,92.963,-40.8,1.262,5076.2,1
37,7,1,5,0,1,0,1,5,2,414,1,999,0,0,-2.9,92.201,-31.4,0.884,5076.2,1
29,5,2,6,0,1,0,1,3,2,170,1,999,0,0,-2.9,92.963,-40.8,1.26,5076.2,1
39,6,0,4,0,0,0,1,6,1,261,1,3,1,2,-3.4,92.379,-29.8,0.788,5017.5,1
68,1,0,5,0,1,0,1,7,1,418,2,999,0,0,-3.4,92.431,-26.9,0.728,5017.5,1
31,4,1,3,0,0,0,0,2,1,945,2,999,0,0,1.1,93.994,-36.4,4.856,5191.0,1
26,7,0,5,0,0,1,1,4,1,500,1,999,0,0,1.4,93.918,-42.7,4.961,5228.1,1
